package_name,version,epoch,repository,languages,Programming language
aws-c-http,0.8.10,0,https://github.com/awslabs/aws-c-http,"{'C': 2864516, 'CMake': 43547, 'Python': 24424, 'Shell': 727}",Python
aws-c-io,0.14.18,1,https://github.com/awslabs/aws-c-io,"{'C': 2142630, 'CMake': 25902, 'Python': 5784, 'Shell': 3562, 'Lua': 1945, 'Makefile': 1460, 'Dockerfile': 1261}",Python
aws-cli-v2,2.18.0,0,https://github.com/aws/aws-cli,"{'Python': 4257702, 'Shell': 1808, 'Batchfile': 1432}",Python
aws-c-mqtt,0.10.6,0,https://github.com/awslabs/aws-c-mqtt,"{'C': 3085761, 'Python': 104984, 'CMake': 43088}",Python
aws-crt-cpp,0.28.3,0,https://github.com/awslabs/aws-crt-cpp,"{'C++': 1698300, 'Python': 90536, 'CMake': 33403, 'Shell': 8816, 'C': 1457, 'Batchfile': 468}",Python
aws-c-s3,0.6.6,0,https://github.com/awslabs/aws-c-s3,"{'C': 2060361, 'Python': 35385, 'CMake': 25212}",Python
aws-c-sdkutils,0.1.19,1,https://github.com/awslabs/aws-c-sdkutils,"{'C': 358461, 'C++': 11400, 'CMake': 9146, 'Python': 1476}",Python
aws-efs-csi-driver,2.0.7,1,https://github.com/kubernetes-sigs/aws-efs-csi-driver,"{'Go': 336179, 'Shell': 27593, 'Python': 7317, 'Makefile': 5080, 'Dockerfile': 4329, 'Mustache': 1737}",Python
aws-for-fluent-bit,2.32.2,1,https://github.com/aws/aws-for-fluent-bit,"{'Shell': 115064, 'PowerShell': 63297, 'C++': 58724, 'Go': 54765, 'Python': 53278, 'Java': 10841, 'Makefile': 9419, 'Dockerfile': 3110, 'C': 2395, 'Batchfile': 437}",Python
aws-network-policy-agent,1.1.3,0,https://github.com/aws/aws-network-policy-agent,"{'Go': 266508, 'C': 27443, 'Shell': 17732, 'Makefile': 15307, 'Python': 4948, 'Dockerfile': 2365}",Python
azcopy,10.26.0,1,https://github.com/Azure/azure-storage-azcopy,"{'Go': 3796659, 'Python': 260836, 'CSS': 189334, 'HTML': 22181, 'JavaScript': 9141, 'Shell': 5564, 'PowerShell': 769, 'Dockerfile': 370}",Python
az,2.64.0,1,https://github.com/Azure/azure-cli/,"{'Python': 120438283, 'Roff': 1036959, 'Shell': 58976, 'PowerShell': 34760, 'Batchfile': 14845, 'Rich Text Format': 12032, 'HTML': 8992, 'Dockerfile': 7611, 'C#': 7424, 'ANTLR': 5373, 'JavaScript': 4936, 'Bicep': 3487, 'CSS': 2381, 'TSQL': 1145, 'Jupyter Notebook': 389, 'EJS': 305}",Python
bash-completion,2.14.0,1,https://github.com/scop/bash-completion,"{'Shell': 1037819, 'Python': 430332, 'Makefile': 34981, 'Dockerfile': 3254, 'Awk': 2680, 'Perl': 2557, 'M4': 1054, 'CMake': 653, 'Emacs Lisp': 272}",Python
basisu,1.16.4,1,https://github.com/BinomialLLC/basis_universal,"{'C++': 6843780, 'C': 3024832, 'JavaScript': 117811, 'HTML': 96493, 'CMake': 17121, 'Python': 10095, 'Shell': 6863}",JavaScript
bat,0.24.0,2,https://github.com/sharkdp/bat,"{'Rust': 416838, 'Python': 8968, 'Shell': 3653, 'Batchfile': 38}",Python
bazelisk,1.22.0,0,https://github.com/bazelbuild/bazelisk,"{'Go': 114657, 'Shell': 22541, 'Python': 17143, 'Starlark': 8908, 'JavaScript': 2127}",Python
benchmark,1.9.0,1,https://github.com/google/benchmark,"{'C++': 622330, 'Python': 105564, 'CMake': 50322, 'Starlark': 11922, 'C': 4359}",Python
binaryen,119,0,https://github.com/webassembly/binaryen,"{'WebAssembly': 13744012, 'C++': 7121044, 'JavaScript': 1683644, 'Python': 302377, 'C': 204817, 'CMake': 30586, 'Shell': 4007, 'Assembly': 818}",JavaScript
blosc,1.21.6,1,https://github.com/Blosc/c-blosc,"{'C': 4924626, 'C++': 579919, 'Ada': 89080, 'Pascal': 75203, 'C#': 54009, 'Makefile': 53963, 'CMake': 46032, 'Assembly': 30857, 'HTML': 29827, 'DIGITAL Command Language': 27305, 'Shell': 11158, 'Python': 8800, 'Roff': 7799, 'Starlark': 4480, 'SAS': 1847, 'Module Management System': 1545, 'M4': 786, 'Batchfile': 784}",Python
botan,3.5.0,0,https://github.com/randombit/botan,"{'C++': 9647797, 'Python': 664304, 'C': 202510, 'Shell': 25027, 'CMake': 8895, 'PowerShell': 1939, 'Emacs Lisp': 1313, 'HTML': 184}",Python
brew,4.4.0,0,https://github.com/Homebrew/brew,"{'Ruby': 4686144, 'Shell': 299202, 'Roff': 120959, 'HTML': 30986, 'Rich Text Format': 5305, 'Swift': 5146, 'Dockerfile': 4092, 'CMake': 840, 'PostScript': 485}",Ruby
brotli,1.1.0,4,https://github.com/google/brotli.git,"{'TypeScript': 13360432, 'C': 2122930, 'C#': 748417, 'Java': 558363, 'JavaScript': 328507, 'Kotlin': 207454, 'Python': 130650, 'C++': 113457, 'Starlark': 24105, 'Go': 19028, 'CMake': 15223, 'Shell': 6777, 'Makefile': 1161}",JavaScript
brunsli,0.1,1,https://github.com/google/brunsli,"{'C++': 537906, 'C': 25272, 'Python': 19414, 'Starlark': 13235, 'Java': 9700, 'CMake': 7408, 'Shell': 2071, 'Makefile': 1913}",Python
bubblewrap,0.10.0,0,https://github.com/containers/bubblewrap,"{'C': 179347, 'Shell': 41507, 'Python': 20339, 'Meson': 8944, 'Emacs Lisp': 63}",Python
buck2,20241001,0,https://github.com/facebook/buck2,"{'Rust': 14952913, 'Starlark': 5038413, 'Python': 1706486, 'Erlang': 417284, 'TypeScript': 55479, 'JavaScript': 28920, 'Go': 21411, 'Objective-C': 18111, 'Shell': 15555, 'C++': 14029, 'CSS': 5235, 'Makefile': 5011, 'HTML': 4740, 'Batchfile': 2857, 'C': 2769, 'Java': 1934, 'Nix': 1816, 'Raku': 1152, 'Terra': 870, 'RenderScript': 316, 'Roff': 40}",Python
buildkitd,0.16.0,1,https://github.com/moby/buildkit,"{'Go': 3458554, 'Dockerfile': 53856, 'Shell': 17943, 'HCL': 7118, 'Makefile': 2427, 'Ruby': 2131, 'Assembly': 1691}",Ruby
byobu,6.12,2,https://github.com/dustinkirkland/byobu,"{'Shell': 222827, 'Roff': 57951, 'Python': 17542, 'Makefile': 3320, 'M4': 1830, 'Perl': 1782}",Python
cadvisor,0.50.0,3,https://github.com/google/cadvisor,"{'Go': 1369041, 'JavaScript': 34605, 'Shell': 26383, 'HTML': 9640, 'Python': 5378, 'Dockerfile': 3285, 'Makefile': 2856}",JavaScript
calico-3.28,3.28.2,0,https://github.com/projectcalico/calico,"{'Go': 13428998, 'C': 2135883, 'Python': 1203107, 'Shell': 409207, 'Makefile': 254949, 'PowerShell': 136719, 'Dockerfile': 22225, 'Smarty': 1584, 'HCL': 978, 'Starlark': 725, 'Awk': 504}",Python
cargo-audit,0.20.1,0,https://github.com/rustsec/rustsec,"{'Rust': 662467, 'HTML': 24063, 'CSS': 7711, 'JavaScript': 2483, 'Shell': 874}",JavaScript
cassandra-5.0,5.0.1,0,https://github.com/apache/cassandra,"{'Java': 44238072, 'Python': 592212, 'HTML': 265026, 'Shell': 225983, 'GAP': 97695, 'Lex': 10152, 'AMPL': 801}",Python
cassandra-reaper,3.6.1,0,https://github.com/thelastpickle/cassandra-reaper,"{'Java': 1910374, 'JavaScript': 400579, 'Less': 276331, 'Gherkin': 67465, 'Shell': 57058, 'Python': 44726, 'Dockerfile': 10133, 'SCSS': 3775, 'Makefile': 3703, 'EJS': 1984, 'HTML': 1182}",JavaScript
Catch2,3.7.1,0,https://github.com/catchorg/Catch2,"{'C++': 2490232, 'CMake': 150636, 'Python': 88624, 'Meson': 17849, 'Starlark': 8581, 'Batchfile': 2497, 'Shell': 2215, 'PowerShell': 1020}",Python
ccache,4.10.2,2,https://github.com/ccache/ccache,"{'C++': 1078957, 'Shell': 346885, 'CMake': 55022, 'Python': 24383, 'Dockerfile': 4659}",Python
cfssl,1.6.5,9,https://github.com/cloudflare/cfssl,"{'Go': 1786571, 'Assembly': 72900, 'JavaScript': 22995, 'Makefile': 2865, 'Shell': 781, 'HTML': 639, 'Dockerfile': 585}",JavaScript
chartmuseum,0.16.2,6,https://github.com/helm/chartmuseum,"{'Go': 246182, 'Shell': 26161, 'Python': 14607, 'Makefile': 8000, 'RobotFramework': 4208, 'Dockerfile': 325}",Python
checkov,3.0.34,0,https://github.com/bridgecrewio/checkov,"{'Python': 9727251, 'HCL': 2859797, 'TypeScript': 179755, 'Bicep': 65253, 'Shell': 45191, 'Dockerfile': 30520, 'Jinja': 4953, 'Perl': 4726, 'Smarty': 2119, 'Java': 1499, 'Batchfile': 957, 'JavaScript': 948}",Python
chezmoi,2.52.3,0,https://github.com/twpayne/chezmoi,"{'Go': 1105473, 'Shell': 11376, 'PowerShell': 8177, 'Makefile': 7224, 'Python': 3316, 'Dockerfile': 813, 'JavaScript': 294}",Python
cilium-1.16,1.16.2,0,https://github.com/cilium/cilium,"{'Go': 18340102, 'C': 1797750, 'Shell': 255959, 'Makefile': 74971, 'Dockerfile': 31408, 'Smarty': 25186, 'Python': 12413, 'SmPL': 12369, 'HTML': 3439, 'Lua': 2517, 'Mustache': 1457, 'TeX': 416}",Python
cjson,1.7.18,1,https://github.com/DaveGamble/cJSON,"{'C': 708394, 'Ruby': 131482, 'CMake': 17813, 'Makefile': 13634, 'Python': 11112, 'Shell': 874}",Ruby
clblast,1.6.3,1,https://github.com/CNugteren/CLBlast,"{'C++': 4391708, 'C': 546421, 'Python': 214082, 'Cython': 183150, 'CMake': 45164}",Python
cli11,2.4.2,1,https://github.com/CLIUtils/CLI11,"{'C++': 1039479, 'CMake': 41548, 'Meson': 6489, 'Python': 5421, 'Starlark': 1831, 'Shell': 1436, 'Ruby': 261}",Python
clickhouse-24.9,24.9.1.3278,1,https://github.com/ClickHouse/ClickHouse,"{'C++': 61751646, 'Python': 6547095, 'Shell': 3348721, 'C': 2696383, 'Jinja': 1452748, 'CMake': 980046, 'Assembly': 213848, 'HTML': 125802, 'Clojure': 67302, 'Dockerfile': 53550, 'ANTLR': 34332, 'Java': 15105, 'JavaScript': 10012, 'Perl': 8165, 'Rust': 7589, ""Cap'n Proto"": 4974, 'C#': 4253, 'Go': 3011, 'PLpgSQL': 2127, 'GAP': 1429, 'PHP': 1307, 'CSS': 1101, 'Vim Script': 102, 'DIGITAL Command Language': 77}",Python
cloudflared,2024.1.0,13,https://github.com/cloudflare/cloudflared,"{'Go': 1340444, 'Python': 112641, ""Cap'n Proto"": 8413, 'Makefile': 7510, 'Shell': 3722, 'Dockerfile': 1672}",Python
cluster-api-controller,1.8.3,0,https://github.com/kubernetes-sigs/cluster-api,"{'Go': 11213174, 'Makefile': 80506, 'Shell': 80276, 'Python': 49933, 'Dockerfile': 13013, 'Smarty': 146}",Python
cluster-autoscaler-1.31,1.31.0,1,https://github.com/kubernetes/autoscaler,"{'Go': 23092841, 'Shell': 76361, 'Python': 29468, 'Makefile': 27055, 'Dockerfile': 6194, 'Smarty': 5802, 'Mustache': 5063, 'Bicep': 2727, 'Roff': 1730, 'Ruby': 1255}",Python
clusterctl,1.8.3,0,https://github.com/kubernetes-sigs/cluster-api,"{'Go': 11213174, 'Makefile': 80506, 'Shell': 80276, 'Python': 49933, 'Dockerfile': 13013, 'Smarty': 146}",Python
collectd,5.12.0,2,https://github.com/collectd/collectd.git,"{'C': 5220935, 'Perl': 620026, 'M4': 233725, 'PHP': 131825, 'Java': 97192, 'Makefile': 75101, 'Python': 45650, 'JavaScript': 35529, 'Shell': 24490, 'C++': 24395, 'PLpgSQL': 21039, 'Yacc': 6119, 'Lex': 5133, 'Ruby': 3661, 'CSS': 1054, 'Dockerfile': 614}",Python
conda-build,24.9.0,0,https://github.com/conda/conda-build,"{'Python': 1587020, 'Shell': 29231, 'Batchfile': 16263, 'Jupyter Notebook': 15787, 'HTML': 8961, 'Jinja': 6451, 'Makefile': 1430, 'C': 1223, 'Perl': 1105, 'Xonsh': 902, 'R': 172, 'CMake': 83, 'Go': 78, 'Rebol': 13}",Python
conda,24.9.1,0,https://github.com/conda/conda,"{'Python': 3133595, 'Shell': 18160, 'Batchfile': 14128, 'Xonsh': 8292, 'PowerShell': 7817, 'HTML': 3686, 'Makefile': 3413}",Python
configurable-http-proxy,4.6.2,0,https://github.com/jupyterhub/configurable-http-proxy,"{'JavaScript': 86958, 'Dockerfile': 1443, 'Shell': 1228, 'HTML': 767}",JavaScript
confluent-common-docker,7.6.0,8,https://github.com/confluentinc/common-docker,"{'Java': 74102, 'Go': 25348, 'Shell': 7077, 'Python': 2339, 'Dockerfile': 1143, 'Groovy': 390}",Python
confluent-docker-utils,0.0.87,0,https://github.com/confluentinc/confluent-docker-utils,{'Python': 46792},Python
confluent-kafka-images,7.9.0.12,0,https://github.com/confluentinc/kafka-images,"{'Python': 96085, 'Java': 32641, 'Shell': 30992, 'Groovy': 806}",Python
confluent-kafka,with,0,https://github.com/confluentinc/kafka,"{'Java': 51648751, 'Scala': 10026923, 'Python': 1268283, 'Shell': 169242, 'Batchfile': 40018, 'Roff': 39396, 'Dockerfile': 22372, 'XSLT': 7116, 'HTML': 3739, 'Makefile': 2198}",Python
contour-1.30,1.30.0,3,https://github.com/projectcontour/contour,"{'Go': 5126786, 'HTML': 4798268, 'Shell': 46133, 'SCSS': 33371, 'Makefile': 14695, 'Smarty': 3855, 'Dockerfile': 1206, 'JavaScript': 566}",JavaScript
couchdb-3.3,3.3.3,4,https://github.com/apache/couchdb,"{'Erlang': 6215120, 'C': 2834751, 'Elixir': 682429, 'JavaScript': 336117, 'C++': 319117, 'Python': 295644, 'Java': 180949, 'Shell': 42322, 'Makefile': 38256, 'Groovy': 24321, 'Ruby': 23957, 'PowerShell': 16634, 'Batchfile': 8027, 'Dockerfile': 333}",JavaScript
cpp-httplib,0.18.0,0,https://github.com/yhirose/cpp-httplib.git,"{'C++': 2400293, 'CMake': 28300, 'Meson': 9514, 'Makefile': 8183, 'Python': 1992, 'Shell': 1475, 'HTML': 938, 'Dockerfile': 531}",Python
crac-criu,1.4.3,0,https://github.com/canonical/crac-criu,"{'C': 4014544, 'Python': 282300, 'Java': 134478, 'Shell': 117568, 'Makefile': 94962, 'Assembly': 26365, 'Perl': 3246}",Python
crc32c,1.1.2,2,https://github.com/google/crc32c,"{'C++': 65462, 'CMake': 15180, 'Python': 4374, 'C': 1990}",Python
crfsuite,0.12,2,https://github.com/chokkan/crfsuite,"{'C++': 639178, 'C': 528401, 'Python': 57297, 'Ruby': 3658, 'Perl': 3386, 'Makefile': 2325, 'Shell': 1444, 'SWIG': 1079, 'Roff': 998, 'HTML': 107}",Python
crossplane-provider-aws,1.14.0,0,https://github.com/upbound/provider-aws,"{'Go': 2823871, 'Makefile': 21992, 'Shell': 7346, 'Python': 5592, 'Dockerfile': 348}",Python
crossplane-provider-azure,1.7.0,0,https://github.com/upbound/provider-azure,"{'Go': 1791498, 'Makefile': 20026, 'Shell': 3829, 'Python': 2964, 'Dockerfile': 411}",Python
crossplane-provider-gcp,1.8.3,0,https://github.com/upbound/provider-gcp,"{'Go': 1224820, 'Makefile': 21103, 'Python': 3433, 'Shell': 1247, 'Dockerfile': 308}",Python
curl-rustls,8.10.1,0,https://github.com/curl/curl.git,"{'C': 7810566, 'Perl': 845277, 'M4': 523456, 'Python': 428293, 'CMake': 244747, 'DIGITAL Command Language': 238149, 'Shell': 142667, 'Makefile': 133322, 'Batchfile': 63547, 'Dockerfile': 1711, 'Emacs Lisp': 1348}",Python
cyrus-sasl,2.1.28,3,https://github.com/cyrusimap/cyrus-sasl.git,"{'C': 2406835, 'M4': 112084, 'HTML': 76782, 'Makefile': 53096, 'Python': 42499, 'Roff': 18945, 'Tcl': 13483, 'JavaScript': 8560, 'CSS': 3640, 'Shell': 2991, 'Rez': 2671, 'Perl': 1683, 'Batchfile': 1576, 'PowerShell': 1046}",Python
cython-0,0.29.37.1,0,https://github.com/cython/cython,"{'Python': 4453267, 'Cython': 3527985, 'C': 851127, 'C++': 33034, 'Shell': 8492, 'PowerShell': 4022, 'Starlark': 3341, 'Makefile': 2932, 'Batchfile': 1429, 'sed': 807, 'Smalltalk': 618}",Python
dagger,0.13.3,0,https://github.com/dagger/dagger,"{'Go': 3240686, 'C#': 502445, 'Python': 213502, 'TypeScript': 189465, 'PHP': 148112, 'Rust': 122067, 'Elixir': 121602, 'Java': 108168, 'Groovy': 15263, 'PowerShell': 14743, 'Shell': 14315, 'HTML': 12172, 'CSS': 6569, 'Dockerfile': 1978, 'Smarty': 1846, 'JavaScript': 1638}",Python
dart,3.5.3,0,https://github.com/dart-lang/sdk,"{'Dart': 142956602, 'C++': 23757773, 'C': 1471991, 'Python': 1293420, 'HTML': 703747, 'Java': 593864, 'JavaScript': 266661, 'Shell': 108115, 'CSS': 76022, 'GAP': 48399, 'ANTLR': 48171, 'TeX': 37865, 'SCSS': 22311, 'Makefile': 10274, 'Assembly': 7067, 'Batchfile': 4772, 'CMake': 1598, 'Objective-C++': 854, 'Dockerfile': 499}",Python
dask-gateway,2024.1.0,10,https://github.com/dask/dask-gateway,"{'Python': 482968, 'Go': 24579, 'Shell': 23572, 'Dockerfile': 17370, 'Mustache': 2206}",Python
datadog-agent,7.56.2,3,https://github.com/DataDog/datadog-agent,"{'Go': 31872390, 'C': 7695839, 'Python': 1630954, 'C#': 436392, 'JavaScript': 401640, 'Ruby': 316900, 'Shell': 220619, 'HTML': 208751, 'C++': 145813, 'PowerShell': 115884, 'CSS': 24370, 'Dockerfile': 23230, 'Batchfile': 20048, 'SCSS': 14123, 'Swift': 12198, 'CMake': 8828, 'Jinja': 5371, 'Java': 4346, 'Smarty': 1487, 'HCL': 1086, 'GDB': 152}",Python
dbmate,2.21.0,0,https://github.com/amacneil/dbmate,"{'Go': 201033, 'TypeScript': 5142, 'Makefile': 1644, 'Dockerfile': 881, 'JavaScript': 245}",JavaScript
delta,0.18.2,0,https://github.com/dandavison/delta,"{'Rust': 1010884, 'Shell': 44777, 'Makefile': 3467, 'Dockerfile': 327, 'Python': 131}",Python
delve,1.23.1,0,https://github.com/go-delve/delve,"{'Go': 3264941, 'C': 2654266, 'Shell': 5549, 'PowerShell': 4033, 'Assembly': 3395, 'Starlark': 2024, 'Makefile': 1019, 'Python': 617}",Python
deno,1.46.3,0,https://github.com/denoland/deno,"{'Rust': 6918603, 'JavaScript': 4064945, 'TypeScript': 3156158, 'CSS': 5811, 'C': 3979, 'C++': 1416, 'Lua': 678, 'HTML': 279, 'Dockerfile': 267, 'Python': 214, 'Svelte': 133, 'Astro': 97, 'Nunjucks': 45}",JavaScript
dgraph,24.0.2,1,https://github.com/dgraph-io/dgraph,"{'Go': 6748929, 'Shell': 121734, 'HCL': 118934, 'TeX': 62370, 'Makefile': 18237, 'JavaScript': 5605, 'Ruby': 5523, 'Dockerfile': 1821, 'Smarty': 644}",JavaScript
difftastic,0.60.0,0,https://github.com/Wilfred/difftastic,"{'Rust': 531227, 'CSS': 55256, 'HTML': 47728, 'JavaScript': 28537, 'Roff': 4911, 'Just': 857, 'Shell': 310}",JavaScript
direnv,2.34.0,6,https://github.com/direnv/direnv,"{'Go': 109864, 'Shell': 65154, 'PowerShell': 8113, 'Makefile': 4746, 'Nix': 2887, 'Elvish': 2299, 'Ruby': 142, 'HTML': 127}",Ruby
docker-selenium,4.25.0.20240922,0,https://github.com/SeleniumHQ/docker-selenium,"{'Shell': 186162, 'Go': 89702, 'Makefile': 56804, 'Python': 55265, 'Smarty': 49922, 'Dockerfile': 37502, 'TypeScript': 2513}",Python
docker,27.3.1,0,https://github.com/moby/moby,"{'Go': 10012530, 'Shell': 155657, 'Dockerfile': 56143, 'PowerShell': 30815, 'Makefile': 10128, 'Python': 7179, 'C': 4815, 'HCL': 3897, 'Assembly': 81}",Python
doctest,2.4.11,1,https://github.com/doctest/doctest,"{'C++': 670041, 'CMake': 31640, 'Python': 12623, 'Starlark': 729, 'Meson': 242, 'C': 115}",Python
